hogar,rol,horizonte_min,estrategia,rmse,mae,mape,r2,n
19,train,15,rf_por_hogar,229.39555051894826,116.15450100108811,36.75835954020415,0.20856787165946145,7835
19,train,60,rf_por_hogar,241.47598035285435,129.88868369292024,42.49802121869838,0.12350634957300932,7830
19,train,1440,rf_por_hogar,248.1639543247211,135.58927088546898,46.29668238732132,0.0998495758036625,7729
20,train,15,rf_por_hogar,258.952005087323,139.8734437509907,37.26572220177311,0.3115125978104555,7605
20,train,60,rf_por_hogar,273.6804048781779,149.56429530699154,41.272008875358495,0.2317180391356245,7600
20,train,1440,rf_por_hogar,285.58201227889026,155.6903580509292,44.95637467958578,0.15776592987346094,7498
21,train,15,rf_por_hogar,379.9050754035075,260.0369659421111,37.168627984869666,0.6826071918440713,7581
21,train,60,rf_por_hogar,461.344745572266,333.9401746787562,49.92717547587296,0.5323387139852203,7574
21,train,1440,rf_por_hogar,484.3512179124438,328.28095751883285,51.142181347393866,0.4842905352970873,7431
2,validacion_externa,15,rf_por_hogar,725.0827977519576,361.66707845376794,98.1082662890454,0.29593998758535767,7850
2,validacion_externa,60,rf_por_hogar,783.4298155506464,398.734687530922,116.89615560661998,0.17844010966219948,7836
2,validacion_externa,1440,rf_por_hogar,821.7449935489643,456.63144356597275,161.5556480503843,0.08870587596999802,7684
13,validacion_externa,15,rf_por_hogar,639.7562491284481,340.90278064353913,49.279782899515865,0.40207640925328636,6147
13,validacion_externa,60,rf_por_hogar,736.3719481496181,386.48480490228036,56.21621991888788,0.20875500624326027,6136
13,validacion_externa,1440,rf_por_hogar,787.3296913294901,422.2356421890819,65.00304682446328,0.11579475993408006,5949
1,train,15,rf_global,510.13653054220276,234.97635913521984,54.88673423216185,0.36322555634159626,9384
3,train,15,rf_global,613.4971790278292,338.9406792432149,53.41874711594081,0.255148228873342,8653
4,train,15,rf_global,271.3571882406012,161.60325271813224,60.839766248470184,0.07524517985773116,9134
5,train,15,rf_global,426.83054470796856,244.7584185582246,31.99432337032545,0.3928631767068417,9441
6,train,15,rf_global,244.17168503291592,142.51357486841485,30.370062872033966,0.27119324639584197,8229
7,train,15,rf_global,585.927757112737,315.2376889899875,72.55902959187058,0.2863423345904673,9273
8,train,15,rf_global,688.1485903985468,404.4585257990255,75.84475537464289,0.43827948032485065,8870
9,train,15,rf_global,632.028354015996,303.9066526713653,64.52497687916066,0.29654311643537756,8244
10,train,15,rf_global,591.3551817424426,319.9768683344013,52.77283484327585,0.2817184376048121,8891
